size,seed,urea,phosphate,pesticide,pseed,purea,pphosph,hiredlabor,famlabor,totlabor,wage,goutput,noutput,price
0.7,20,100,50,400,70,78,78,329,280,609,60.86,2180,2000,70
0.143,5,20,10,300,75,80,80,47,55,102,42.55,545,500,60
0.7,20,100,50,600,70,70,70,176,64,240,63.75,995,850,70
0.171,5,37,10,900,80,75,75,58,115,173,44.83,520,470,80
0.521,13,105,60,2300,350,90,90,131,181,312,133.13,1518,1380,90
0.057,2,15,10,300,350,95,95,8,50,58,140,220,200,125
0.591,23,150,50,680,56,80,80,368,166,534,57.35,2344,2150,65
0.204,10,100,15,0,60,80,80,151,80,231,51.66,1199,1100,60
0.596,20,200,50,2100,70,70,70,258,55,313,77.6,1045,900,70
0.317,12,100,75,300,150,70,70,310,88,398,47.74,1205,1055,75
0.472,16,222,98,1625,120,90,90,292,220,512,135.38,2750,2475,100
0.435,22,297,123,2375,150,90,90,398,244,642,124.77,3441,3097,145
0.054,3,15,5,0,65,80,80,40,34,74,43.33,220,200,70
0.054,3,15,5,0,70,80,80,40,34,74,45,220,200,75
0.06,4,16,2,0,80,70,70,35,41,76,62.86,220,220,70
0.06,4,18,2,0,75,70,72,55,106,161,45,160,160,70
0.029,2,15,5,0,150,95,100,1,49,49,142.23,100,100,120
0.069,2,15,5,0,150,95,100,1,59,59,135.5,180,180,135
0.357,16,60,20,0,65,78,78,320,44,364,38.2,1210,1100,70
0.357,16,60,20,0,70,78,78,325,49,374,42.85,1100,1000,75
0.47,14,115,35,0,80,72,72,105,295,400,66.33,1392,1252,70
0.47,25,75,25,0,100,70,70,255,355,610,51.76,1100,1000,80
0.339,14,76,33,0,122,90,90,40,353,393,150,1438,1380,120
0.339,7,76,33,0,247,90,90,90,318,408,150,1210,1100,135
1.628,70,250,50,1000,80,75,75,1540,410,1950,68.02,3600,3200,70
1.057,40,250,50,1000,80,70,70,1045,295,1340,61.48,2750,2480,80
1.4,47,275,125,0,60,70,70,700,320,1020,64.23,4000,3600,75
1,40,250,70,0,100,70,70,670,450,1120,50.9,2100,1900,80
0.98,38,190,110,3000,120,90,90,1235,129,1364,160,4180,3800,120
0.55,22,106,64,1500,135,90,90,395,60,455,146.84,1760,1600,135
0.107,4,15,5,0,100,80,80,50,65,115,59.62,350,310,70
0.107,4,15,5,0,100,80,80,55,84,139,56.36,330,300,90
0.104,5,20,5,0,80,75,75,15,30,45,58.33,335,300,70
0.104,5,10,5,0,150,75,75,83,94,177,47.59,275,250,80
0.104,8,50,20,500,150,95,100,40,70,110,150,330,300,120
0.175,8,50,10,500,157.5,90,95,40,70,110,160,300,270,135
0.135,8,20,10,0,60,76,80,145,35,180,39.58,495,450,65
0.135,8,20,10,0,65,80,80,75,33,108,56.33,440,400,70
0.2,9,9,9,0,80,70,70,55,42,97,57.27,310,300,80
0.2,4,13,5,0,85,70,75,115,23,138,55.65,390,354,80
0.143,14,30,10,0,146,90,90,180,36,216,142.78,550,500,120
0.143,14,30,10,0,165,80,90,180,36,216,142.78,375,340,150
0.286,5,25,25,0,65,80,80,170,34,204,37.21,550,500,70
0.286,5,25,25,0,70,80,80,205,34,239,45.37,495,450,75
0.286,8,1,0,0,70,70,70,125,60,185,54,520,500,70
0.14,8,1,0,0,100,70,70,135,124,259,52.59,350,300,80
0.143,5,30,10,0,150,90,100,70,62,132,152.86,605,550,120
0.143,5,30,10,0,150,90,95,55,71,126,131.82,550,500,135
0.184,10,40,20,0,60,80,80,40,71,111,40.95,440,400,65
0.184,10,40,10,0,65,80,80,40,71,111,38.5,240,200,70
0.143,10,50,20,0,70,70,70,20,81,101,62.5,310,300,80
0.214,10,50,30,0,100,70,75,190,105,295,64.74,550,500,75
0.667,32,300,100,0,120,95,95,580,126,706,148.1,2365,2150,120
0.667,32,300,100,0,135,95,95,880,126,906,138.1,2420,2680,145
0.2,10,10,10,0,80,80,80,100,115,215,49.02,275,250,70
0.2,10,15,10,0,80,80,80,100,120,220,50,300,280,80
0.186,5,15,15,250,60,75,75,20,101,121,65,350,350,80
0.2,15,10,10,0,100,75,75,40,145,185,55,320,300,80
0.243,12,39,26,0,150,90,95,200,187,387,147.25,740,700,120
0.243,12,39,26,0,150,100,100,205,212,417,148.05,830,800,150
0.957,40,100,50,0,80,76,76,610,1234,1844,52.94,2200,1980,65
0.742,80,100,50,0,45,75,75,375,984,1359,50,1740,1566,75
1.215,56,140,60,0,70,70,70,448,230,678,58.57,4540,4500,75
0.714,30,75,75,0,75,70,70,260,405,665,58.46,1300,1150,70
0.215,8,35,15,0,150,95,100,140,75,215,142.5,550,500,120
0.429,20,75,35,0,150,90,95,248,150,398,134.8,935,850,135
0.235,15,50,50,0,90,80,80,300,185,485,53.97,610,550,70
0.235,15,50,50,0,100,80,80,300,170,470,55,550,500,85
0.313,20,50,25,0,60,70,70,130,101,231,60.38,640,640,60
0.315,10,50,25,125,90,70,70,160,110,270,58,680,630,80
0.358,24,112,38,0,150,95,100,165,433,598,158.48,1116,1054,120
0.644,41,202,68,0,170,90,95,325,694,1019,139.54,2575,2330,135
0.303,15,1,0,0,60,75,80,290,515,805,51.71,1000,900,60
0.303,15,1,0,0,60,80,80,215,550,765,50.93,800,720,60
0.507,15,8,0,0,75,75,75,150,42,192,62,720,720,80
0.607,20,3,2,0,100,70,70,425,280,705,44.71,975,900,80
0.725,41,145,67,0,100,95,95,520,190,710,142.31,2112,1920,120
0.574,41,104,53,0,140,100,100,410,155,565,142.68,1375,1250,135
0.143,5,1,0,0,65,75,80,40,124,164,40.48,440,400,65
0.143,5,1,0,0,65,80,80,40,139,179,42.5,330,330,70
0.142,6,1,0,0,80,70,70,1,98,98,62.43,240,240,80
0.141,10,1,0,0,100,75,70,1,136,136,55.25,150,150,80
0.215,16,50,20,0,120,90,120,60,233,293,148,952,900,120
0.215,16,50,20,0,120,90,120,60,303,363,140,756,700,135
0.286,10,40,20,0,60,80,80,80,120,200,38.71,1210,1100,65
0.286,10,40,20,0,65,75,75,80,120,200,42.5,1100,1000,70
0.286,20,75,25,0,80,75,75,135,25,160,63.04,690,675,75
0.586,16,50,20,0,100,70,70,270,155,425,47.78,1110,1010,80
0.357,16,40,20,0,123.75,95,95,370,91,461,137.84,1100,1000,120
0.357,16,40,20,0,123.75,95,95,370,91,461,137.84,880,800,135
0.071,6,20,20,0,100,80,80,30,44,74,62.5,350,300,70
0.071,6,20,20,0,100,75,75,10,90,100,48.5,425,385,70
0.071,4,18,18,160,80,72.5,72.5,1,60,60,62.25,280,280,60
0.077,3,5,3,0,150,70,70,10,62,72,60,150,150,80
0.072,3,15,10,0,150,90,100,70,75,145,124.29,222,200,120
0.072,3,15,10,0,175,90,100,60,75,135,140,195,175,135
0.571,16,150,50,0,65,75,75,620,70,690,44.43,2200,2000,70
0.143,4,40,10,0,70,80,80,30,44,74,56.67,550,500,75
0.366,25,150,50,900,80,80,80,75,174,249,53.33,980,880,60
0.366,115,100,50,0,100,73,73,250,225,475,50,900,870,90
0.343,14,120,40,0,140,95,95,245,95,340,143.67,1100,1000,120
0.343,14,120,40,0,140,90,90,245,105,350,153.67,990,900,135
0.214,6,60,30,0,60,80,80,125,20,145,50.47,990,900,70
0.214,8,60,30,0,70,80,80,150,20,170,48,880,800,70
0.271,8,60,30,0,80,70,70,90,260,350,57.78,930,850,60
0.271,10,60,40,0,100,75,75,175,163,338,51.43,1000,900,85
0.3,10,100,50,0,150,90,90,140,128,268,147.14,1485,1350,120
0.3,10,100,50,0,150,90,90,130,242,372,165.38,1500,1500,135
0.143,5,40,10,0,65,80,80,100,74,174,40.2,770,700,70
0.143,5,40,10,0,70,80,80,50,74,124,46,715,650,75
0.148,7,39,7,0,90,70,70,1,149,149,62.25,570,555,60
0.142,7,25,15,0,90,75,75,20,40,60,55,535,507,70
0.077,10,20,5,0,120,100,100,28,49,77,140.29,460,430,130
0.077,10,20,5,0,135,100,100,28,49,77,120.14,525,500,135
0.286,10,75,25,0,65,80,80,280,25,305,38.3,1320,1200,65
0.286,10,75,25,0,70,70,80,280,25,305,48.57,1320,1200,70
0.429,18,75,25,0,80,75,75,140,113,253,50,1580,1425,70
0.286,10,60,20,0,90,70,70,140,82,222,60.71,900,810,70
0.486,28,65,40,15000,123,100,100,190,229,419,143.68,2150,1925,130
0.486,28,115,60,0,150,95,95,140,276,416,141.43,2035,1900,145
0.429,16,100,50,0,65,80,80,200,50,250,52.47,1100,1000,65
0.429,16,100,50,0,70,80,80,230,50,280,43.48,990,900,70
0.286,15,75,25,0,90,75,75,20,165,185,67.5,950,950,60
0.25,10,75,25,250,90,70,70,70,76,146,55,1280,1200,80
0.179,9,50,25,8350,150,90,100,140,115,255,146.43,960,900,120
0.179,9,50,25,500,120,90,100,130,149,279,143.08,855,800,125
0.286,12,50,20,0,65,80,80,250,70,320,34.92,880,800,70
0.286,15,50,20,0,70,78,80,390,80,470,37.95,770,700,75
0.357,15,100,25,0,80,75,75,125,225,350,59,1340,1200,60
0.286,10,100,20,0,90,70,70,135,150,285,55.56,1105,1000,70
0.157,8,45,15,6600,150,90,90,40,139,179,135.25,1100,1000,120
0.157,8,60,20,0,150,90,90,25,151,176,160,990,900,135
0.571,20,120,30,0,80,75,75,654,30,684,45.34,2090,1900,60
0.571,20,120,30,0,70,70,75,654,30,684,35.43,2200,2000,70
0.658,20,225,75,0,90,76,76,240,96,336,58.32,2500,2180,70
0.5,25,250,50,0,100,70,72,605,150,755,48.06,2310,2100,80
0.472,30,135,40,20625,120,95,105,593,95,688,154.59,2585,2350,120
0.472,30,140,45,0,135,95,105,510,95,605,147.84,2750,2500,135
0.852,40,250,100,1200,100,75,75,1280,390,1670,56.17,4500,4000,70
0.852,45,250,150,100,100,75,75,1205,390,1595,58.92,4000,3600,70
1.025,50,300,50,1000,80,70,70,800,244,1044,60.4,4050,3645,70
1.025,40,300,100,0,75,70,70,1075,240,1315,53.26,2200,2000,80
1.092,40,375,125,44800,170,90,90,1010,90,1100,136.53,7150,6500,130
1.093,40,375,125,0,170,90,90,1210,90,1300,146.53,7150,6500,135
1.9,65,400,125,1200,80,75,75,2275,420,2695,55.77,9000,8100,80
1.9,64,350,100,1200,100,75,75,2185,340,2525,57.28,9000,8100,70
1.816,60,300,100,0,70,68,68,700,227,927,58.07,4400,4000,70
1.816,60,450,150,0,100,72,75,1100,295,1395,51.37,3500,3200,80
1.945,55,400,200,62600,120,90,95,1280,98,1378,157.15,11589,10500,120
1.945,55,400,200,0,135,90,90,1780,98,1878,147.15,11589,10500,145
0.286,15,75,25,0,60,80,80,150,65,215,32.89,1100,1000,60
0.286,15,75,25,0,65,80,80,140,60,200,34.29,1210,1100,65
0.341,14,110,55,0,82.29,73,73,210,268,478,58.33,1870,1700,60
0.341,15,100,50,0,100,70,70,150,195,345,60,770,700,80
0.486,33,150,50,9565,100,90,90,220,249,469,159.09,2640,2400,120
0.486,33,150,50,525,120,100,100,220,249,469,149.09,2120,1950,135
0.857,25,200,50,0,65,78,78,1015,130,1145,53.83,4400,4000,65
0.857,25,200,50,0,70,76,76,1165,130,1295,50.56,4950,4500,70
0.858,25,100,50,0,70,70,70,480,160,640,66.04,2200,2000,70
1.071,35,250,125,0,100,70,70,1330,370,1700,52.33,3800,3500,85
0.858,25,200,100,24000,120,90,90,1159,142,1301,141.67,4125,3750,120
0.858,25,200,100,0,135,90,90,1159,142,1301,175.35,4125,3750,100
0.071,3,25,10,0,80,80,80,25,50,75,40.74,330,300,65
0.071,3,25,10,0,80,80,80,25,50,75,44,330,300,70
0.071,3,16,4,0,70,75,75,30,38,68,58.33,250,230,60
0.071,2,20,10,0,65,75,75,1,51,51,55.25,100,100,85
0.182,10,35,20,0,150,90,100,90,86,176,162.22,960,900,120
0.325,18,60,40,0,120,90,100,140,205,345,155.71,1408,1280,135
0.5,15,150,50,0,80,80,80,300,33,333,36.49,1650,1500,80
0.5,15,150,50,0,80,78,78,175,33,208,51.43,1540,1400,85
0.571,25,250,50,2900,70,68,68,480,287,767,58.96,2860,2590,60
0.786,25,150,100,1200,85,70,70,675,263,938,50,2370,2170,80
0.801,24,500,200,3000,150,90,95,550,165,715,152.18,2420,2200,120
0.801,24,500,200,0,150,90,90,550,165,715,152.18,2200,2000,135
0.714,25,150,50,0,70,80,80,500,45,545,37.85,3300,3000,60
0.714,25,150,50,0,75,75,75,475,45,520,38.53,3410,3100,65
0.715,35,125,25,0,70,70,70,355,248,603,61.27,2403,2100,70
0.715,32,100,50,0,90,72,72,605,50,655,52.6,2200,2000,85
0.429,20,100,100,0,150,95,95,410,25,435,160,3000,2700,120
0.249,20,100,100,0,150,95,95,410,25,435,160,3000,2700,145
0.428,14,125,75,0,80,80,80,385,195,580,54.03,3250,2850,65
0.428,16,80,75,0,70,70,70,445,200,645,49.21,3000,2650,80
0.4,17,150,75,0,80,73,73,220,284,504,60.91,2700,2430,70
0.428,20,120,40,0,100,73,75,200,285,485,50,1350,1220,80
0.3,13,80,45,0,150,90,90,175,77,252,155.71,2090,1900,120
0.3,13,80,45,0,150,90,90,175,91,266,142,1870,1700,135
0.328,12,150,50,0,80,78,78,500,290,790,56.77,1312,1172,65
0.071,5,25,8,0,80,80,80,65,85,150,49.23,340,300,70
0.54,20,125,25,0,70,68,68,360,239,599,62.92,1888,1700,70
0.33,5,75,25,0,80,70,75,190,213,403,61.05,600,550,80
0.35,18,75,25,0,120,90,90,230,102,332,156.96,1565,1400,120
0.35,20,75,25,0,120,90,90,140,180,320,135.5,1280,1150,135
0.178,5,35,15,0,80,80,80,145,80,225,59.86,660,600,90
0.178,6,35,15,0,80,80,80,135,75,210,51.85,450,410,80
0.25,8,50,25,0,80,70,70,60,105,165,55,770,700,70
0.244,6,1,0,0,90,75,75,60,84,144,50,260,260,80
0.107,7,40,10,0,120,90,90,30,41,71,141.67,445,400,120
0.107,5,40,10,0,150,95,95,45,46,91,118.89,275,250,135
0.5,20,200,50,1000,80,75,78,335,85,420,57.15,2330,2100,65
0.25,20,100,50,500,80,80,80,190,55,245,54.21,1400,1250,75
0.714,23,150,35,1500,80,70,70,275,63,338,60,2283,1856,70
0.5,25,25,10,60,90,70,70,345,47,392,64.78,1210,1100,70
0.658,18,200,200,0,120,90,90,735,178,913,159.86,3305,3005,120
0.336,10,100,100,620,135,90,90,295,60,355,135.76,2843,2585,145
0.1,5,20,10,0,70,80,80,70,45,115,38.71,330,300,70
0.01,5,20,10,0,70,80,80,90,55,145,54.44,275,250,75
0.1,10,12,3,0,80,70,70,30,108,138,50,385,385,80
0.1,4,18,7,0,90,70,70,1,128,128,55.25,250,250,70
0.4,13,83,37,0,150,90,90,175,555,730,146.57,1295,1235,120
0.157,5,27,13,0,170,90,90,30,270,300,150,450,450,135
0.05,4,15,5,0,65,80,80,25,60,85,40.74,150,150,70
0.029,2,5,2,0,70,80,80,15,39,54,53.33,100,100,75
0.05,2,12,3,0,52.5,70,70,1,50,50,62.43,200,200,70
0.05,2,10,5,0,90,70,75,1,37,37,55.25,90,90,80
0.1,4,55,20,0,120,90,90,65,124,189,153.85,760,700,120
0.1,4,35,20,0,135,90,90,65,120,185,153.85,430,400,135
0.214,5,50,25,0,80,80,80,120,145,265,63.93,750,675,80
0.142,8,25,15,0,50,80,80,80,130,210,52.5,500,450,80
0.174,10,50,25,0,70,70,70,1,278,278,52.43,666,600,70
0.143,4,35,10,0,90,70,70,65,121,186,53.08,530,500,80
0.215,8,75,38,0,150,100,100,30,240,270,150,874,850,120
0.243,5,50,25,0,135,100,100,20,219,239,145,400,400,137
0.2,7,70,30,0,100,80,80,145,90,235,50.27,600,540,70
0.2,7,70,30,0,100,80,80,130,90,220,53.85,710,640,70
0.286,8,85,20,300,70,70,70,90,151,241,57.22,650,600,70
0.286,8,70,25,0,90,73,75,170,72,242,59.41,645,600,80
0.786,22,158,90,0,150,90,90,630,311,941,152.38,3760,3400,120
0.501,14,93,45,0,170,90,90,445,261,706,159.66,2750,2500,135
